top - 09:28:14 up 23:25,  2 users,  load average: 0,07, 0,06, 0,05
Tarefas: 246 total,   1 em exec., 245 dormindo,   0 parado,   0 zumbi
%CPU(s):  2,2 us,  2,2 sy,  0,0 ni, 93,3 id,  0,0 wa,  0,0 hi,  2,2 si,  0,0 st 
GB mem :      5,8 total,      0,5 free,      1,6 used,      4,0 buff/cache     
GB swap:      4,0 total,      4,0 free,      0,0 used.      4,2 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
   3302 aluno     20   0  299,8m   6,6m   6,0m S   0,0   0,1   0:00.00 xdg-per+
   1008 root      20   0   17,0m   6,5m   5,7m S   0,0   0,1   0:00.47 wpa_sup+
   4212 aluno     20   0    9,3m   6,4m   4,1m S   0,0   0,1   0:00.08 bash
   3205 aluno     20   0  296,8m   6,3m   5,7m S   0,0   0,1   0:00.59 user-se+
   1070 syslog    20   0  217,4m   6,2m   4,5m S   0,0   0,1   0:00.61 rsyslogd
   3204 aluno     20   0   92,9m   6,1m   5,2m S   0,0   0,1   0:00.01 pipewire
   1591 root      20   0   85,8m   6,0m   2,9m S   0,0   0,1   0:00.13 smbd-cl+
   3891 aluno     20   0  224,9m   6,0m   5,4m S   0,0   0,1   0:00.02 dconf-s+
   3330 aluno     20   0   86,9m   5,8m   5,3m S   0,0   0,1   0:00.00 gnome-s+
  88675 aluno     20   0   11,8m   5,7m   3,6m R   0,0   0,1   0:00.00 top
  47178 aluno     20   0    8,8m   5,3m   3,7m S   0,0   0,1  21:49.91 htop
   3405 aluno     20   0    9,3m   5,3m   4,7m S   0,0   0,1   0:00.02 dbus-da+
   4051 aluno     20   0  210,7m   4,4m   3,8m S   0,0   0,1   0:00.62 VBoxCli+
   2688 root      20   0  283,4m   3,8m   3,3m S   0,0   0,1   0:15.36 VBoxSer+
  88672 aluno     20   0    7,2m   3,7m   3,4m S   0,0   0,1   0:00.00 000-top+
   3193 aluno     20   0   21,0m   3,6m   1,8m S   0,0   0,1   0:00.00 (sd-pam)
   3233 rtkit     21   1   22,4m   3,5m   3,2m S   0,0   0,1   0:00.87 rtkit-d+
    948 root      20   0    6,7m   2,9m   2,6m S   0,0   0,0   0:00.54 cron
   4100 aluno     20   0  145,5m   2,5m   2,1m S   0,0   0,0   0:09.38 VBoxCli+
  88498 aluno     20   0    5,9m   2,4m   2,3m S   0,0   0,0   0:00.00 sleep
   2686 root      20   0  341,9m   2,4m   2,1m S   0,0   0,0   0:50.08 VBoxDRM+
   1493 kernoops  20   0   12,5m   2,4m   1,9m S   0,0   0,0   0:00.07 kernelo+
   1503 kernoops  20   0   12,5m   2,3m   1,8m S   0,0   0,0   0:00.06 kernelo+
   3311 root      20   0    2,6m   2,1m   1,9m S   0,0   0,0   0:00.00 fusermo+
   4341 aluno     20   0    2,7m   1,9m   1,8m S   0,0   0,0   0:00.08 sh
   4422 aluno     20   0    2,7m   1,9m   1,8m S   0,0   0,0   0:00.00 sh
   4049 aluno     20   0   16,5m   1,6m   1,2m S   0,0   0,0   0:00.00 VBoxCli+
   4099 aluno     20   0   16,5m   1,5m   1,2m S   0,0   0,0   0:00.00 VBoxCli+
    966 avahi     20   0    8,3m   1,5m   1,1m S   0,0   0,0   0:00.00 avahi-d+
      2 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.03 kthreadd
      3 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 pool_wo+
      4 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
      5 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
      6 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
      7 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
