top - 09:28:14 up 23:25,  2 users,  load average: 0,07, 0,06, 0,05
Tarefas: 249 total,   2 em exec., 247 dormindo,   0 parado,   0 zumbi
%CPU(s):  2,4 us,  0,0 sy,  0,0 ni, 97,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :   5920,9 total,    493,6 free,   1660,4 used,   4088,6 buff/cache     
MB swap:   4096,0 total,   4095,4 free,      0,6 used.   4260,6 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
     29 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     30 root      rt   0       0      0      0 S   0,0   0,0   0:01.25 migrati+
     31 root      20   0       0      0      0 S   0,0   0,0   0:00.44 ksoftir+
     33 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     34 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     35 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     36 root      rt   0       0      0      0 S   0,0   0,0   0:01.73 migrati+
     37 root      20   0       0      0      0 S   0,0   0,0   0:03.51 ksoftir+
     39 root       0 -20       0      0      0 I   0,0   0,0   0:00.42 kworker+
     44 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
     45 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     46 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     47 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     48 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     49 root      20   0       0      0      0 S   0,0   0,0   0:00.09 khungta+
     50 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
     52 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     54 root      20   0       0      0      0 S   0,0   0,0   0:05.09 kcompac+
     55 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     56 root      39  19       0      0      0 S   0,0   0,0   0:00.00 khugepa+
     57 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     58 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
